"title","raw_content","type","system","tags","op_category","severity","owner_team"
"Billing B&C Validation Rule","Owner Aggne. Checks: Billing transaction count in range. Debit/Credit balance equals zero net zero check. No orphaned billing transactions. SQL: SELECT SUM(debit_amount) - SUM(credit_amount) AS net_balance COUNT(*) AS row_count FROM V_BILLING_CANON WHERE processing_date={run_date}. Failure Action Failed Billing B&C Recovery.","ValidationRule","Snowflake","Billing,B&C,validation,GL","ValidationRule","CRITICAL","Aggne"
"GL Balance Validation Rule","Owner DB Team. Checks: Total GL AU debits equals credits. Total GL NZ debits equals credits. GL totals match canonical views. SQL: SELECT SUM(CASE WHEN entry_type=DR THEN amount ELSE 0 END) AS total_dr SUM(CASE WHEN entry_type=CR THEN amount ELSE 0 END) AS total_cr total_dr - total_cr AS balance FROM GL_DETAIL_AU WHERE run_date={run_date}. Failure Action GL Reconciliation Failure Recovery.","ValidationRule","Snowflake","GL,balance,debit,credit","ReconRule","CRITICAL","DB Team"
"Earned Premium Validation Rule","Owner DB Team. Checks: EM total matches sum from V_BILLING_CANON. No negative earned premium values. All policy periods accounted for. Failure Action EM Failure Recovery.","ValidationRule","Snowflake","EM,earned-premium,validation,monthly","ValidationRule","HIGH","DB Team"
"Reconciliation Tolerance Rule","Owner DB Team. Rule variance must be 0.01 percent or less of total transaction value. Decision any variance greater than tolerance flagged for investigation before month close.","ValidationRule","Snowflake","reconciliation,tolerance,variance,GL","ReconRule","HIGH","DB Team"
"Failed Policy B&C Recovery","Owner Aggne. Trigger Policy B&C validation fails. Steps 1 Identify failing records via diagnostic query 2 Check ADF pipeline status for Policy source 3 Check V_POLICY_CANON row count vs previous run 4 If data missing request Capricorn rerun ADF Policy pipeline 5 If data incorrect Aggne investigates transformation logic 6 Rerun B&C after fix 7 Proceed only when PASS confirmed. Escalation unresolved in 1 hour notify DB Team lead.","RecoveryRule","Snowflake","Policy,B&C,recovery,failure","RecoveryRule","CRITICAL","Aggne"
"Failed Billing B&C Recovery","Owner Aggne. Trigger Billing B&C fails net balance not zero. Steps 1 Run missing billing transaction query 2 Identify unmatched debit/credit pairs 3 Check source billing system export 4 Request Capricorn rerun Billing ADF pipeline if source incomplete 5 If unbalanced Aggne investigates billing logic 6 Apply correction transactions approved by DB Team 7 Rerun B&C. Escalation net imbalance over 10000 notify leadership immediately.","RecoveryRule","Snowflake","Billing,B&C,recovery,failure","RecoveryRule","CRITICAL","Aggne"
"Missing Billing Transaction Recovery","Owner Aggne + Capricorn. Trigger expected billing transactions not in V_BILLING_CANON. Steps 1 Identify missing transaction IDs 2 Check source billing system export logs 3 Capricorn reruns ADF Billing pipeline 4 Validate V_BILLING_CANON row count post-rerun 5 Re-execute B&C validation.","RecoveryRule","Snowflake","Billing,missing,transaction,recovery","RecoveryRule","HIGH","Aggne"
"Premium Mismatch Recovery","Owner Aggne + DB Team. Trigger premium amount in GL does not match V_POLICY_CANON. Steps 1 Run premium mismatch detection query 2 Compare GL_DETAIL_AU/NZ vs canonical amounts 3 Identify mismatched policy IDs 4 Aggne investigates GL processing logic 5 DB Team validates recalculation 6 Rerun SP for affected policies 7 Rerun reconciliation.","RecoveryRule","Snowflake","premium,mismatch,recovery,GL","RecoveryRule","HIGH","DB Team"
"EM Failure Recovery","Owner DB Team. Trigger Earned Premium validation fails. Steps 1 Identify EM errors via diagnostic query 2 Check V_BILLING_CANON completeness 3 Check V_POLICY_CANON for policy period coverage 4 Recalculate EM for failing policies 5 Repost corrected entries to GL_DETAIL_AU/NZ 6 Rerun EM validation 7 DB Team approves before month close.","RecoveryRule","Snowflake","EM,earned-premium,failure,recovery","RecoveryRule","HIGH","DB Team"
"GL Reconciliation Failure Recovery","CRITICAL. Owner DB Team + Aggne. Trigger GL reconciliation variance exceeds tolerance. Steps 1 Stop TRF generation immediately 2 Run GL variance query 3 Compare V_GL_AU_ALL and V_GL_NZ_ALL vs canonical views 4 Root cause missing transactions or balance error or timing issue 5 Apply corrections 6 Rerun SP_GL_AU_FULL_LOAD and SP_GL_NZ_FULL_LOAD 7 Rerun reconciliation 8 DB Team sign-off required before TRF resumes.","RecoveryRule","Snowflake","GL,reconciliation,failure,recovery,CRITICAL","RecoveryRule","CRITICAL","DB Team"
"ADF Pipeline Failure Recovery","Owner Capricorn/Informatica. Trigger ADF pipeline shows FAILED status. Steps 1 Identify failing pipeline and error message in ADF Monitor 2 Capricorn investigates ADF activity logs 3 Resolve source connectivity or data issue 4 Capricorn reruns pipeline 5 Validate Bronze population post-rerun 6 Notify GL team when SUCCEEDED. Escalation cannot rerun within SLA engage Snowflake Admin.","RecoveryRule","Snowflake","ADF,pipeline,failure,recovery","RecoveryRule","CRITICAL","Capricorn/Informatica"
"Partial TRF Recovery","Owner Aggne + DB Team. Trigger TRF partial match detected. Steps 1 Identify mismatched TRF rows 2 DB Team validates GL source data for mismatched rows 3 Aggne regenerates TRF for affected subset 4 Validate regenerated TRF 5 Resubmit full corrected TRF to Informatica via Capricorn 6 Get Informatica confirmation receipt.","RecoveryRule","Snowflake","TRF,partial,recovery,Informatica","RecoveryRule","HIGH","Aggne"
"GL Operational Ownership Matrix","ADF Pipelines: Capricorn/Informatica owns can rerun. Informatica Middleware: Capricorn/Informatica owns can trigger. Policy B&C Validation: Aggne owns can fix and rerun. Billing B&C Validation: Aggne owns. GL Processing SPs: Aggne owns. TRF Generation: Aggne owns. Reconciliation: DB Team owns. GL Balancing Validation: DB Team owns. Earned Premium Validation: DB Team owns. Monthly Processing Approval: DB Team has sign-off. Snowflake Execution Layer: Snowflake Admin owns can rerun procs.","OwnershipRule","General","ownership,GL,teams,matrix","Ownership","HIGH","DB Team"
"Recovery Action Ownership Matrix","ADF Pipeline Failure: Capricorn responds escalation Snowflake Admin. Policy B&C Failure: Aggne responds escalation DB Team. Billing B&C Failure: Aggne responds escalation DB Team. GL SP Failure: Aggne responds escalation Snowflake Admin. GL Reconciliation Failure: DB Team responds escalation Leadership. TRF Generation Failure: Aggne responds escalation DB Team and Leadership. EM Validation Failure: DB Team responds escalation Leadership.","OwnershipRule","General","ownership,recovery,escalation,matrix","Ownership","HIGH","DB Team"
"Leadership Notification Framework","Triggers for leadership notification: TRF full hold. GL Reconciliation variance exceeds tolerance. Monthly close at risk. Critical failure unresolved more than 2 hours. Notification: Immediate email and Slack to GL lead and Finance lead. Include issue description and impact and ETA. Update every 30 minutes until resolved. Post-resolution send summary and root cause and prevention plan.","OperationalRule","General","notification,leadership,GL,escalation","IncidentHistory","HIGH","DB Team"
"GL Processing Failure Alert Protocol","ADF Failure: Alert Capricorn lead via Slack within 15 minutes. B&C Failure: Alert Aggne GL lead via Slack within 15 minutes. GL SP Failure: Alert Aggne and Snowflake Admin via Slack within 15 minutes. Recon Failure: Alert DB Team lead and Aggne lead via Email within 30 minutes. TRF Hold: Alert DB and Aggne and Leadership via Email within 15 minutes. Monthly close at risk: Alert Leadership via Email immediately.","OperationalRule","General","alert,notification,failure,protocol","IncidentHistory","CRITICAL","DB Team"
"GL Escalation Decision Tree","LOW severity: Team resolves internally SLA 4 hours. MEDIUM severity: Team lead notified SLA 2 hours. HIGH severity: Cross-team engagement required and monthly close at risk alert SLA 1 hour. CRITICAL severity: Immediate leadership notification and all hands Aggne and DB and Capricorn and Snowflake Admin SLA 30 minutes to status update.","OperationalRule","General","escalation,decision,severity,GL","Remediation","HIGH","DB Team"
"Cross-Team Escalation Rule","Decision Type ESCALATE. Trigger issue requires action from non-owning team. Rule 1 Identify owning team using GL Operational Ownership Matrix 2 Raise escalation via Slack #gl-production 3 Include issue and impact and action needed and SLA 4 Primary team stays engaged until resolved 5 Escalating team provides all context needed.","OperationalRule","General","cross-team,escalation,ownership,GL","Remediation","HIGH","DB Team"
"GL Reconciliation Failure Handling","Owner DB Team. Trigger GL recon shows variance exceeds 0.01%. Steps 1 Run GL variance query 2 Identify failing GL accounts and regions 3 Drill down AU vs NZ and premium vs non-premium 4 Cross-reference with canonical views 5 Root cause B&C failure or SP error or timing gap 6 Resolve using Recovery Rule 7 Rerun reconciliation 8 DB Team sign-off before month close.","ReconciliationRule","Snowflake","reconciliation,GL,failure,variance","ReconRule","CRITICAL","DB Team"
"AU/NZ Balance Reconciliation Rule","Owner DB Team. Rule: AU GL total and NZ GL total must each independently balance DR equals CR before the combined TRF can proceed to Informatica. Two separate validations required one for GL_DETAIL_AU and one for GL_DETAIL_NZ. A balanced AU does not compensate for an unbalanced NZ.","ReconciliationRule","Snowflake","AU,NZ,balance,reconciliation","ReconRule","CRITICAL","DB Team"
"Monthly Close Reconciliation Gate","Owner DB Team. ALL criteria must be true to close month: 1 GL Balance Validation PASS for AU and NZ 2 Earned Premium Validation PASS 3 AU/NZ Reconciliation PASS 4 TRF submission confirmed by Informatica with receipt 5 DB Team lead sign-off obtained. No single team can close unilaterally.","ReconciliationRule","Snowflake","monthly,close,gate,reconciliation","ReconRule","CRITICAL","DB Team"
"GL Dependency Model","ADF Pipelines depend on source systems export. Clarity Bronze depends on ADF SUCCESS. Clarity Silver depends on Bronze. Canonical views depend on Silver. B&C validations depend on canonical views non-empty. SP_GL_AU_FULL_LOAD depends on all canonical views and B&C validations PASS. GL_DETAIL tables depend on SP execution. GL views depend on GL_DETAIL populated. Reconciliation depends on GL views and Balance Validation PASS. TRF depends on Reconciliation PASS. Informatica submission depends on TRF validation PASS.","Process","Snowflake","GL,dependency,pipeline,model","BusinessProcess","",""
"SP_GL_AU_FULL_LOAD Dependencies","Pre-conditions before SP_GL_AU_FULL_LOAD can execute. Owner Aggne dev and Snowflake Admin prod. Depends On ALL: V_POLICY_CANON row count greater than 0. V_BILLING_CANON row count greater than 0. V_CLAIMS_CANON row count greater than 0. Policy B&C PASS. Billing B&C PASS. Produces GL_DETAIL_AU which feeds V_GL_DETAIL_AU which feeds V_GL_AU_ALL.","OperationalRule","Snowflake","SP,dependencies,GL,AU,prerequisites","ValidationRule","CRITICAL","Aggne"
"V_POLICY_CANON Definition","Policy canonical view single source of truth for policy data entering GL. System Snowflake. Source Clarity Silver policy tables. Key Columns: policy_id effective_date expiry_date premium_amount currency source_system processing_date region. Downstream: SP_GL_AU_FULL_LOAD SP_GL_NZ_FULL_LOAD Policy B&C validation. Consolidates policy data from all source systems into standardised format.","ViewDefinition","Snowflake","V_POLICY_CANON,view,canonical,policy","","",""
"V_BILLING_CANON Definition","Billing canonical view all billing transactions normalised for GL. System Snowflake. Source Clarity Silver billing tables. Key Columns: transaction_id policy_id billing_date debit_amount credit_amount transaction_type processing_date. Downstream: SP_GL_AU_FULL_LOAD SP_GL_NZ_FULL_LOAD Billing B&C EM calculation. Net debit/credit must equal zero for a given processing_date.","ViewDefinition","Snowflake","V_BILLING_CANON,view,canonical,billing","","",""
"V_CLAIMS_CANON Definition","Claims canonical view normalised claims data feeding GL. System Snowflake. Source Clarity Silver claims tables. Key Columns: claim_id policy_id claim_date claim_amount claim_type currency processing_date region. Downstream: SP_GL_AU_FULL_LOAD SP_GL_NZ_FULL_LOAD. Claims data contributes to GL entries for payments and reserves.","ViewDefinition","Snowflake","V_CLAIMS_CANON,view,canonical,claims","","",""
"V_GL_AU_ALL Definition","Consolidated AU GL view all GL entries for Australia. System Snowflake. Source GL_DETAIL_AU table. Downstream: Reconciliation queries TRF Generation GL Balance Validation. Primary view for DB Team AU reconciliation and Aggne AU TRF generation.","ViewDefinition","Snowflake","V_GL_AU_ALL,view,GL,Australia","","",""
"V_GL_NZ_ALL Definition","Consolidated NZ GL view all GL entries for New Zealand. System Snowflake. Source GL_DETAIL_NZ table. Downstream: Reconciliation queries TRF Generation GL Balance Validation. Primary view for DB Team NZ reconciliation and Aggne NZ TRF generation.","ViewDefinition","Snowflake","V_GL_NZ_ALL,view,GL,NewZealand","","",""
"V_GL_DETAIL_AU Definition","Detailed AU GL entries view with full transaction breakdown. System Snowflake. Source GL_DETAIL_AU table. Downstream: V_GL_AU_ALL reconciliation drill-down queries. Use when investigating specific AU GL entries or policy-level discrepancies.","ViewDefinition","Snowflake","V_GL_DETAIL_AU,view,GL,detail","","",""
"V_GL_DETAIL_NZ Definition","Detailed NZ GL entries view with full transaction breakdown. System Snowflake. Source GL_DETAIL_NZ table. Downstream: V_GL_NZ_ALL reconciliation drill-down queries. Use when investigating specific NZ GL entries or policy-level discrepancies.","ViewDefinition","Snowflake","V_GL_DETAIL_NZ,view,GL,detail","","",""
"SP_GL_AU_FULL_LOAD Definition","AU GL full load SP. System Snowflake. Owner Aggne dev and Snowflake Admin prod. Parameters run_date DATE mode VARCHAR FULL or DELTA. Logic: 1 TRUNCATE GL_DETAIL_AU for FULL mode 2 INSERT INTO GL_DETAIL_AU from all canonical views WHERE region=AU AND processing_date={run_date} 3 Apply GL mapping rules 4 Post debit/credit entries 5 Return row count and amounts. Upstream 3 canonical views. Downstream GL_DETAIL_AU to V_GL_DETAIL_AU to V_GL_AU_ALL.","QueryExample","Snowflake","SP_GL_AU_FULL_LOAD,stored-procedure,GL,AU","","","Aggne"
"SP_GL_NZ_FULL_LOAD Definition","NZ GL full load SP. System Snowflake. Owner Aggne dev and Snowflake Admin prod. Logic same as SP_GL_AU_FULL_LOAD with processing_region=NZ. Upstream 3 canonical views. Downstream GL_DETAIL_NZ to V_GL_DETAIL_NZ to V_GL_NZ_ALL. Prerequisites identical to SP_GL_AU_FULL_LOAD.","QueryExample","Snowflake","SP_GL_NZ_FULL_LOAD,stored-procedure,GL,NZ","","","Aggne"
"GL Balance Check Query","Check GL debit/credit balance. SQL: SELECT run_date SUM(CASE WHEN entry_type=DR THEN amount ELSE 0 END) AS total_debit SUM(CASE WHEN entry_type=CR THEN amount ELSE 0 END) AS total_credit total_debit - total_credit AS net_balance FROM GL_DETAIL_AU WHERE run_date={run_date} GROUP BY run_date. Expected net_balance=0. Replace GL_DETAIL_AU with GL_DETAIL_NZ for NZ check.","QueryExample","Snowflake","GL,balance,check,query,diagnostic","","","DB Team"
"Canonical View Row Count Check","Verify all canonical views have data. SQL: SELECT V_POLICY_CANON AS view_name COUNT(*) AS row_count FROM V_POLICY_CANON WHERE processing_date={run_date} UNION ALL SELECT V_BILLING_CANON COUNT(*) FROM V_BILLING_CANON WHERE processing_date={run_date} UNION ALL SELECT V_CLAIMS_CANON COUNT(*) FROM V_CLAIMS_CANON WHERE processing_date={run_date}. All three rows must show row_count greater than 0 before GL SP execution.","QueryExample","Snowflake","canonical,view,row-count,validation,query","","","Aggne"
"Missing Billing Transaction Query","Find billing transactions not loaded to GL_DETAIL_AU. SQL: SELECT b.transaction_id b.policy_id b.billing_date b.debit_amount b.credit_amount FROM V_BILLING_CANON b LEFT JOIN GL_DETAIL_AU g ON g.source_transaction_id=b.transaction_id WHERE b.processing_date={run_date} AND g.source_transaction_id IS NULL ORDER BY b.billing_date. Use during Billing B&C recovery.","QueryExample","Snowflake","billing,missing,transaction,query,diagnostic","","","Aggne"
"GL Reconciliation Variance Query","Calculate variance between canonical totals and GL totals. SQL: SELECT c.total_canon_amount g.total_gl_amount c.total_canon_amount - g.total_gl_amount AS variance ROUND(ABS(c.total_canon_amount - g.total_gl_amount)/c.total_canon_amount*100 4) AS variance_pct FROM (SELECT SUM(premium_amount) AS total_canon_amount FROM V_POLICY_CANON WHERE processing_date={run_date}) c (SELECT SUM(amount) AS total_gl_amount FROM GL_DETAIL_AU WHERE run_date={run_date}) g. Expected variance_pct 0.01% or less.","QueryExample","Snowflake","reconciliation,variance,query,GL,diagnostic","","","DB Team"
"Premium Mismatch Detection Query","Detect premium mismatches between canonical and GL. SQL: SELECT p.policy_id p.premium_amount AS canon_premium g.amount AS gl_amount p.premium_amount - g.amount AS mismatch_amount FROM V_POLICY_CANON p JOIN GL_DETAIL_AU g ON g.policy_id=p.policy_id AND g.run_date={run_date} WHERE p.processing_date={run_date} AND ABS(p.premium_amount - g.amount)>0.01 ORDER BY ABS(p.premium_amount - g.amount) DESC.","QueryExample","Snowflake","premium,mismatch,detection,query,diagnostic","","","Aggne"
"Monthly Processing Status Query","Single view of all monthly GL processing stages. SQL: SELECT ADF Pipelines AS step pipeline_status AS status FROM adf_run_log WHERE run_date={run_date} UNION ALL SELECT V_POLICY_CANON CASE WHEN COUNT(*)>0 THEN OK ELSE EMPTY END FROM V_POLICY_CANON WHERE processing_date={run_date} UNION ALL same pattern for V_BILLING_CANON GL_DETAIL_AU GL_DETAIL_NZ. Run to get dashboard view of all processing stages.","QueryExample","Snowflake","monthly,status,processing,query,dashboard","","","DB Team"
"GL Daily Processing Runbook","Daily GL checklist. PRE-CHECK Capricorn: All ADF pipelines SUCCESS. Bronze and Silver tables populated. VALIDATION Aggne: Canonical View Row Count Check all 3 non-empty. Policy B&C PASS. Billing B&C PASS. GL EXECUTION Aggne + Snowflake Admin: SP_GL_AU_FULL_LOAD run_date=today mode=FULL. Confirm GL_DETAIL_AU row count. SP_GL_NZ_FULL_LOAD. Confirm GL_DETAIL_NZ row count. VALIDATION DB Team: GL Balance Check AU net_balance=0. GL Balance Check NZ net_balance=0. Variance Query variance_pct 0.01% or less. TRF Aggne: Generate from V_GL_AU_ALL + V_GL_NZ_ALL. Validate. Decision gate. SUBMISSION Capricorn: Submit to Informatica. Confirm receipt. SIGN-OFF DB Team: All validations PASS. Close daily run.","Process","Snowflake","GL,daily,runbook,processing,checklist","BusinessProcess","","DB Team"
"GL Reconciliation Failure Runbook","Response runbook for GL reconciliation failures. IMMEDIATE: Stop TRF generation. Alert DB lead and Aggne GL lead and Capricorn lead. Run GL Reconciliation Variance Query. DIAGNOSIS: Check canonical view counts. Check B&C validation results. Run Missing Billing Transaction Query. Run Premium Mismatch Detection Query. Identify root cause. RESOLUTION: ADF issue Capricorn reruns. B&C issue Aggne fixes and reruns. GL SP issue Snowflake Admin reruns. Data issue DB Team and Aggne correct and repost. VALIDATION: GL Balance Check equals zero. Variance Query 0.01% or less. DB Team sign-off. RESUME: Generate TRF. Submit to Informatica. Send resolution notification to leadership.","Process","Snowflake","GL,reconciliation,failure,runbook,recovery","Remediation","CRITICAL","DB Team"
